date,ex_rate
2016-07-19,1136.3
2016-07-20,1138.4
2016-07-21,1140.8
2016-07-22,1140.2
2016-07-23,1140.2
2016-07-24,1140.2
2016-07-25,1135.0
2016-07-26,1136.9
2016-07-27,1138.4
2016-07-28,1134.1
2016-07-29,1125.7
2016-07-30,1125.7
2016-07-31,1125.7
2016-08-01,1122.4
2016-08-02,1111.0
2016-08-03,1108.9
2016-08-04,1114.0
2016-08-05,1113.8
2016-08-06,1113.8
2016-08-07,1113.8
2016-08-08,1111.3
2016-08-09,1112.7
2016-08-10,1107.2
2016-08-11,1096.1
2016-08-12,1098.6
2016-08-13,1098.6
2016-08-14,1098.6
2016-08-15,1098.6
2016-08-16,1101.1
2016-08-17,1095.0
2016-08-18,1102.3
2016-08-19,1106.4
2016-08-20,1106.4
2016-08-21,1106.4
2016-08-22,1115.2
2016-08-23,1125.3
2016-08-24,1117.4
2016-08-25,1121.6
2016-08-26,1119.0
2016-08-27,1119.0
2016-08-28,1119.0
2016-08-29,1113.9
2016-08-30,1125.2
2016-08-31,1118.5
2016-09-01,1117.4
2016-09-02,1119.3
2016-09-03,1119.3
2016-09-04,1119.3
2016-09-05,1117.6
2016-09-06,1108.2
2016-09-07,1105.0
2016-09-08,1093.2
2016-09-09,1093.2
2016-09-10,1093.2
2016-09-11,1093.2
2016-09-12,1099.5
2016-09-13,1110.6
2016-09-14,1110.6
2016-09-15,1110.6
2016-09-16,1110.6
2016-09-17,1110.6
2016-09-18,1110.6
2016-09-19,1112.3
2016-09-20,1120.0
2016-09-21,1119.5
2016-09-22,1116.8
2016-09-23,1103.1
2016-09-24,1103.1
2016-09-25,1103.1
2016-09-26,1104.2
2016-09-27,1106.9
2016-09-28,1103.5
2016-09-29,1095.7
2016-09-30,1096.3
2016-10-01,1096.3
2016-10-02,1096.3
2016-10-03,1096.3
2016-10-04,1102.0
2016-10-05,1105.1
2016-10-06,1113.8
2016-10-07,1111.3
2016-10-08,1111.3
2016-10-09,1111.3
